[000]( 85, 76)to( 92,144): alpha=5.303305 p=1 th=-355974.330639 sum=-1146624.507272
[001]( 85,110)to(223,124): alpha=4.600158 p=1 th=-420245.950781 sum=-1717149.775410
[002](147, 69)to(229,117): alpha=4.471004 p=0 th=1293528.450301 sum=14836884.007425
[003]( 78, 55)to(106,165): alpha=4.834308 p=1 th=-2750970.921875 sum=-5781601.415681
[006](181,110)to(230,138): alpha=5.595462 p=1 th=-455546.613672 sum=-1510472.798213
[007]( 85, 76)to( 92,144): alpha=5.791999 p=1 th=-355974.330639 sum=-1146624.507272
[009]( 71,104)to(126,130): alpha=6.261719 p=1 th=-441477.970631 sum=-2190130.551116
[010](195, 62)to(223,165): alpha=5.676540 p=0 th=616317.753906 sum=2321778.945037
[011]( 65, 83)to(161,109): alpha=8.227867 p=1 th=-734901.412616 sum=-3496346.649013
[012](120,159)to(175,171): alpha=8.340046 p=0 th=156752.125962 sum=325197.202587
[014]( 71, 90)to(125,104): alpha=9.041207 p=1 th=-47786.743125 sum=-843796.530393
[015](120,117)to(202,131): alpha=7.918461 p=1 th=-149741.801172 sum=-664989.408177
[016](106,145)to(132,213): alpha=8.401785 p=0 th=262299.219674 sum=408660.084081
[017]( 99,110)to(113,124): alpha=6.031222 p=1 th=-47067.548945 sum=-110379.294067
[018](181, 62)to(195, 69): alpha=5.874175 p=0 th=8462.716367 sum=144483.195556
[020]( 85, 49)to(106,171): alpha=5.052995 p=1 th=-2464600.473958 sum=-4390822.310436
[021]( 85, 76)to( 92,144): alpha=5.718055 p=1 th=-355974.330639 sum=-1146624.507272
[022]( 85,110)to(223,124): alpha=6.066714 p=1 th=-420245.950781 sum=-1717149.775410
[023](195, 49)to(209,159): alpha=6.038256 p=0 th=77102.476172 sum=1899844.008979
[024]( 99,172)to(139,200): alpha=5.392023 p=0 th=210762.540396 sum=310748.883031
[025]( 71, 62)to(106,158): alpha=5.492295 p=1 th=-2766656.891753 sum=-5548301.392805
[026](106,110)to(113,124): alpha=5.533834 p=1 th=-41541.190625 sum=-48918.929663
[028]( 85, 76)to( 92,144): alpha=4.826100 p=1 th=-355974.330639 sum=-1146624.507272
[031](195, 49)to(209,159): alpha=5.511323 p=0 th=77102.476172 sum=1899844.008979
[033]( 99,104)to(230,144): alpha=6.816333 p=1 th=-1751683.429878 sum=-6215197.685796
[034]( 92, 76)to(146,116): alpha=6.554772 p=1 th=-939139.806402 sum=-2591529.804558
[036]( 85, 76)to( 92,144): alpha=6.195190 p=1 th=-355974.330639 sum=-1146624.507272
[038](202, 69)to(216,152): alpha=5.517063 p=0 th=128010.201172 sum=931513.231858
[039]( 78,159)to(160,199): alpha=5.066717 p=0 th=674902.556476 sum=917504.962644
[043]( 71, 55)to( 99,109): alpha=5.544060 p=0 th=459568.797187 sum=1940622.007318
[044](181, 69)to(223,152): alpha=5.927028 p=0 th=629347.468750 sum=9322173.124044
[045](106,152)to(132,179): alpha=5.005425 p=0 th=112852.782205 sum=119840.376416
[047]( 78, 62)to(106,158): alpha=5.232782 p=1 th=-2263902.359536 sum=-4392875.878698
[048](181,110)to(230,138): alpha=5.242206 p=1 th=-455546.613672 sum=-1510472.798213
[049](181, 62)to(195, 69): alpha=5.836127 p=0 th=8462.716367 sum=144483.195556
[050]( 85, 76)to( 92,144): alpha=5.343726 p=1 th=-355974.330639 sum=-1146624.507272
[052]( 92,110)to(175,124): alpha=5.623244 p=1 th=-342267.028125 sum=-864772.263352
[054](140,104)to(168,165): alpha=7.213220 p=0 th=22809.828164 sum=4638057.260801
[055]( 71, 83)to(139,109): alpha=6.852462 p=1 th=-561533.638201 sum=-3164548.691299
[057]( 85, 76)to( 92,144): alpha=7.044342 p=1 th=-355974.330639 sum=-1146624.507272
[058](147,104)to(223,130): alpha=6.697111 p=1 th=-729218.859086 sum=-3058569.900650
[060](106,165)to(132,193): alpha=7.209800 p=0 th=84377.658941 sum=599421.907249
[061](188,200)to(230,207): alpha=5.315643 p=1 th=-13892.662266 sum=-105978.790649
[062](113, 90)to(153,124): alpha=5.422434 p=1 th=-391747.875381 sum=-728943.391184
[063]( 65, 83)to(161,109): alpha=5.563241 p=1 th=-734901.412616 sum=-3496346.649013
[064]( 85, 49)to(106,171): alpha=5.051213 p=1 th=-2464600.473958 sum=-4390822.310436
[065]( 85, 76)to( 92,144): alpha=5.519072 p=1 th=-355974.330639 sum=-1146624.507272
[067](147,104)to(223,130): alpha=6.562103 p=1 th=-729218.859086 sum=-3058569.900650
[068](113,186)to(125,207): alpha=6.226030 p=1 th=-35543.114459 sum=-161791.842333
[069]( 78, 90)to( 99,104): alpha=5.477197 p=1 th=-18174.270898 sum=-120133.743310
[070]( 65, 69)to(106,137): alpha=4.953359 p=1 th=-2363045.360281 sum=-2394900.643499
[071](106,110)to(113,124): alpha=5.156915 p=1 th=-41541.190625 sum=-48918.929663
[072](147, 69)to(229,138): alpha=5.638017 p=0 th=1442804.398626 sum=18475146.891667
[073]( 85, 76)to( 92,144): alpha=6.460487 p=1 th=-355974.330639 sum=-1146624.507272
[076](120,117)to(202,131): alpha=5.921367 p=1 th=-149741.801172 sum=-664989.408177
[078]( 71, 83)to(139,109): alpha=6.200284 p=1 th=-561533.638201 sum=-3164548.691299
[079]( 71, 55)to( 85,151): alpha=6.029628 p=0 th=124602.743814 sum=527473.676366
[081]( 85, 76)to( 92,144): alpha=5.857872 p=1 th=-355974.330639 sum=-1146624.507272
[082](195, 49)to(209,159): alpha=5.520666 p=0 th=77102.476172 sum=1899844.008979
[083](147,104)to(223,130): alpha=5.960620 p=1 th=-729218.859086 sum=-3058569.900650
[084](106,193)to(132,200): alpha=6.576371 p=1 th=-50811.859809 sum=-86029.841821
[089]( 85, 76)to( 92,144): alpha=5.520296 p=1 th=-355974.330639 sum=-1146624.507272
[090](147, 62)to(229,124): alpha=5.381944 p=0 th=1456495.245670 sum=18344011.889812
[092](147,104)to(223,130): alpha=5.897612 p=1 th=-729218.859086 sum=-3058569.900650
[094]( 65, 83)to(161,109): alpha=6.492182 p=1 th=-734901.412616 sum=-3496346.649013
[095](181,110)to(209,138): alpha=6.788343 p=1 th=-409300.271875 sum=-1077316.578439
[096]( 85, 49)to(106,171): alpha=6.885758 p=1 th=-2464600.473958 sum=-4390822.310436
[097]( 85, 69)to( 92,137): alpha=6.419783 p=1 th=-394929.839493 sum=-822527.430539
[098]( 85, 49)to( 99, 89): alpha=5.863679 p=0 th=8766.906517 sum=209097.254077
[099](188,117)to(202,131): alpha=5.904174 p=1 th=-10402.587422 sum=-291019.959374
[100](113,186)to(125,207): alpha=5.063730 p=1 th=-35543.114459 sum=-161791.842333
[101]( 78, 69)to(106,151): alpha=4.975057 p=1 th=-2031002.300358 sum=-3306024.876186
[105]( 85, 76)to( 92,144): alpha=5.602249 p=1 th=-355974.330639 sum=-1146624.507272
[107](195, 55)to(223,165): alpha=6.848141 p=0 th=622624.878906 sum=2458781.284783
[110](120,159)to(175,171): alpha=9.825574 p=0 th=156752.125962 sum=325197.202587
[111]( 85, 62)to( 99, 90): alpha=10.134514 p=0 th=8708.450352 sum=84416.323901
[114]( 71, 76)to(113,144): alpha=15.233634 p=1 th=-2001352.467165 sum=-3958986.241687
